"asset_id","symbol","ticker","exchange","asset_class","sector","sector_es","company_name","logo_id","is_active","valid_from","valid_to","current_version","created_at","updated_at"
16,NASDAQ:SKHY,SKHY,NASDAQ,"",Electronic Technology,,SKHY,,true,2026-09-10 12:13:38.847 -0500,infinity,true,2026-09-10 12:13:38.847 -0500,2026-09-10 16:15:24.084 -0500
15,NYSE:LLY,LLY,NYSE,common,Health Technology,,LLY,,true,2026-09-10 12:13:38.846 -0500,infinity,true,2026-09-10 12:13:38.846 -0500,2026-09-10 16:15:24.083 -0500
17,NYSE:BRK.A,BRK.A,NYSE,common,Finance,,BRK.A,,true,2026-09-10 12:13:38.848 -0500,infinity,true,2026-09-10 12:13:38.848 -0500,2026-09-10 16:15:24.085 -0500
24,NYSE:JPM/PK,JPM/PK,NYSE,preferred,Finance,,JPM/PK,,true,2026-09-10 12:13:38.859 -0500,infinity,true,2026-09-10 12:13:38.859 -0500,2026-09-10 16:15:24.087 -0500
18,NYSE:BRK.B,BRK.B,NYSE,common,Finance,,BRK.B,,true,2026-09-10 12:13:38.850 -0500,infinity,true,2026-09-10 12:13:38.850 -0500,2026-09-10 16:15:24.086 -0500
25,NYSE:JPM,JPM,NYSE,common,Finance,,JPM,,true,2026-09-10 12:13:38.862 -0500,infinity,true,2026-09-10 12:13:38.862 -0500,2026-09-10 16:15:24.096 -0500
19,NYSE:JPM/PJ,JPM/PJ,NYSE,preferred,Finance,,JPM/PJ,,true,2026-09-10 12:13:38.851 -0500,infinity,true,2026-09-10 12:13:38.851 -0500,2026-09-10 16:15:24.091 -0500
26,NASDAQ:WMT,WMT,NASDAQ,common,Retail Trade,,WMT,,true,2026-09-10 12:13:38.864 -0500,infinity,true,2026-09-10 12:13:38.864 -0500,2026-09-10 16:15:24.097 -0500
28,NYSE:V,V,NYSE,common,Finance,,V,,true,2026-09-10 12:13:38.868 -0500,infinity,true,2026-09-10 12:13:38.868 -0500,2026-09-10 16:15:24.100 -0500
27,NASDAQ:AMD,AMD,NASDAQ,common,Electronic Technology,,AMD,,true,2026-09-10 12:13:38.866 -0500,infinity,true,2026-09-10 12:13:38.866 -0500,2026-09-10 16:15:24.099 -0500
23,NYSE:JPM/PD,JPM/PD,NYSE,preferred,Finance,,JPM/PD,,true,2026-09-10 12:13:38.857 -0500,infinity,true,2026-09-10 12:13:38.857 -0500,2026-09-10 16:15:24.093 -0500
20,NYSE:JPM/PL,JPM/PL,NYSE,preferred,Finance,,JPM/PL,,true,2026-09-10 12:13:38.853 -0500,infinity,true,2026-09-10 12:13:38.853 -0500,2026-09-10 16:15:24.094 -0500
30,NASDAQ:ASML,ASML,NASDAQ,"",Electronic Technology,,ASML,,true,2026-09-10 12:13:38.870 -0500,infinity,true,2026-09-10 12:13:38.870 -0500,2026-09-10 16:15:24.103 -0500
22,NYSE:JPM/PC,JPM/PC,NYSE,preferred,Finance,,JPM/PC,,true,2026-09-10 12:13:38.855 -0500,infinity,true,2026-09-10 12:13:38.855 -0500,2026-09-10 16:15:24.089 -0500
32,NYSE:JNJ,JNJ,NYSE,common,Health Technology,,JNJ,,true,2026-09-10 12:13:38.873 -0500,infinity,true,2026-09-10 12:13:38.873 -0500,2026-09-10 16:15:24.106 -0500
21,NYSE:JPM/PM,JPM/PM,NYSE,preferred,Finance,,JPM/PM,,true,2026-09-10 12:13:38.854 -0500,infinity,true,2026-09-10 12:13:38.854 -0500,2026-09-10 16:15:24.088 -0500
35,NYSE:MA,MA,NYSE,common,Finance,,MA,,true,2026-09-10 12:13:38.876 -0500,infinity,true,2026-09-10 12:13:38.876 -0500,2026-09-10 16:15:24.111 -0500
33,NASDAQ:INTC,INTC,NASDAQ,common,Electronic Technology,,INTC,,true,2026-09-10 12:13:38.874 -0500,infinity,true,2026-09-10 12:13:38.874 -0500,2026-09-10 16:15:24.108 -0500
36,OTC:TCTZF,TCTZF,OTC,common,Technology Services,,TCTZF,,true,2026-09-10 12:13:38.877 -0500,infinity,true,2026-09-10 12:13:38.877 -0500,2026-09-10 16:15:24.112 -0500
34,OTC:TCEHY,TCEHY,OTC,"",Technology Services,,TCEHY,,true,2026-09-10 12:13:38.875 -0500,infinity,true,2026-09-10 12:13:38.875 -0500,2026-09-10 16:15:24.110 -0500
29,NYSE:XOM,XOM,NYSE,common,Energy Minerals,,XOM,,true,2026-09-10 12:13:38.869 -0500,infinity,true,2026-09-10 12:13:38.869 -0500,2026-09-10 16:15:24.101 -0500
31,OTC:ASMLF,ASMLF,OTC,common,Electronic Technology,,ASMLF,,true,2026-09-10 12:13:38.871 -0500,infinity,true,2026-09-10 12:13:38.871 -0500,2026-09-10 16:15:24.104 -0500
37,NYSE:ORCL/PD,ORCL/PD,NYSE,preferred,Technology Services,,ORCL/PD,,true,2026-09-10 12:13:38.878 -0500,infinity,true,2026-09-10 12:13:38.878 -0500,2026-09-10 16:15:24.114 -0500
39,NYSE:ABBV,ABBV,NYSE,common,Health Technology,,ABBV,,true,2026-09-10 12:13:38.881 -0500,infinity,true,2026-09-10 12:13:38.881 -0500,2026-09-10 16:15:24.115 -0500
38,NYSE:ORCL,ORCL,NYSE,common,Technology Services,,ORCL,,true,2026-09-10 12:13:38.880 -0500,infinity,true,2026-09-10 12:13:38.880 -0500,2026-09-10 16:15:24.119 -0500
51,NYSE:BAC/PO,BAC/PO,NYSE,preferred,Finance,,BAC/PO,,true,2026-09-10 12:13:38.895 -0500,infinity,true,2026-09-10 12:13:38.895 -0500,2026-09-10 16:15:24.121 -0500
55,NYSE:BAC,BAC,NYSE,common,Finance,,BAC,,true,2026-09-10 12:13:38.900 -0500,infinity,true,2026-09-10 12:13:38.900 -0500,2026-09-10 16:15:24.140 -0500
49,NYSE:BAC/PB,BAC/PB,NYSE,preferred,Finance,,BAC/PB,,true,2026-09-10 12:13:38.892 -0500,infinity,true,2026-09-10 12:13:38.892 -0500,2026-09-10 16:15:24.129 -0500
