symbol,exchange,ticker,company_name,security_type,sector,currency,price,pricescale,market_cap,market_cap_trillions,daily_change_pct,daily_change_abs,perf_1m,perf_3m,perf_6m,perf_y,perf_ytd,volatility_d,price_52w_high,price_52w_low,avg_volume_30d,avg_volume_10d,volume,shares_outstanding,shares_outstanding_fund,employees,eps_ttm,revenue_per_employee,gross_profit_1y_growth,logoid,update_mode,market_direction
NASDAQ:NVDA,NASDAQ,NVDA,,common,Electronic Technology,USD,218.94,100,5276453956805.186,5.2765,-2.1147225823758173,-4.72999999999999,-1.4538416527884008,6.8729864297568986,18.39714471122648,23.947010869565226,15.331735454473616,2.978821362799263,236.54,164.27,124798545.46666683,141108032.4000017,49535495,24100000000,24100000000,42000,7.9482,,,nvidia,delayed_streaming_900,sell
NASDAQ:AAPL,NASDAQ,AAPL,,common,Electronic Technology,USD,319.91,100,4668823969608.331,4.6688,1.449229403183881,4.57000000000005,3.951259138911462,8.066749991554929,25.21919524033194,37.7823718155781,17.503810765642516,2.8466715111686987,344.5699,229.02,46877089.1666671,40890797.19999931,31706530,14594200000,14594200000,166000,8.7566,,,apple,delayed_streaming_900,buy
NASDAQ:GOOGN,NASDAQ,GOOGN,,preferred,Technology Services,USD,47.2,100,4031303196075,4.0313,-0.21141649048624592,-0.09999999999999432,-6.25620655412115,-6.7930489731437556,-5.599999999999994,-5.599999999999994,-5.599999999999994,0.8304940374787064,55.97,46.225,1415459.5666666667,772729,372326,5868000000,5868000000,190820,20.1464,,,alphabet,delayed_streaming_900,sell
NASDAQ:GOOGM,NASDAQ,GOOGM,,preferred,Technology Services,USD,47.34,100,4031303196075,4.0313,-0.10550749103185728,-0.04999999999999716,-6.313081337819113,-7.140054923499399,-5.319999999999993,-5.319999999999993,-5.319999999999993,0.8717839676801968,53.13,46.2399,1106280.6666666667,574005,46037,5868000000,5868000000,190820,20.1464,,,alphabet,delayed_streaming_900,sell
NASDAQ:GOOGL,NASDAQ,GOOGL,,common,Technology Services,USD,330.32,100,4027279817715.089,4.0273,-0.09980341751095845,-0.3299999999999841,-7.18480429346146,-8.907396172301585,7.592586560698349,38.267057346169935,4.234774376775013,1.2098004515774623,408.61,235.84,25148505.000000037,23852956.199999988,10388862,5868000000,5868000000,190820,20.1464,,,alphabet,delayed_streaming_900,sell
NASDAQ:GOOG,NASDAQ,GOOG,,common,Technology Services,USD,328,100,4026638188417.6865,4.0266,-0.1157195931542711,-0.37999999999999545,-7.344632768361582,-9.166435890335093,6.960590892044816,37.09508881922675,3.277811014200707,1.1266662777021974,404.47,236.685,16590834.199999996,15312228.90000002,5797239,5527000000,5527000000,190820,20.1464,,,alphabet,delayed_streaming_900,sell
NASDAQ:MSFT,NASDAQ,MSFT,,common,Technology Services,USD,491.27,100,3647947648360.171,3.6479,-0.07729075561883361,-0.37999999999999545,-2.5895742866773745,25.506476253736295,22.51122194513715,-2.3281243787029378,1.4213900100126946,1.5230041152263334,553.72,349.2,29457537.8,20058575.2,5098381,7425550000,7425550000,223000,18.0033,,,microsoft,delayed_streaming_900,sell
NASDAQ:AMZN,NASDAQ,AMZN,,common,Retail Trade,USD,252.29,100,2721279207572.848,2.7213,-0.04358161648178037,-0.11000000000001364,-9.472891025871041,3.733399120101963,20.364495121776677,6.220659747805404,9.055934987464335,1.3943424953922547,287.2,196,40943407.2,31810839.29999991,10736055,10786300000,10786300000,1576000,12.5974,,,amazon,delayed_streaming_900,sell
NASDAQ:SPCX,NASDAQ,SPCX,,common,Communications,USD,151.79,100,2059952649195.4805,2.06,2.8736021687563404,4.239999999999981,9.47315278929717,1.193333333333328,1.193333333333328,1.193333333333328,1.193333333333328,6.770653599282216,225.64,104.83,102384231.2,72240815.4,68287419,8085583000,8085583000,,,,,spacex,delayed_streaming_900,buy
NYSE:TSM,NYSE,TSM,,,Electronic Technology,USD,431.28,100,2028094219661.1738,2.0281,-0.9371554575523797,-4.080000000000041,1.6690240452616654,2.673491251041533,25.401256106071166,66.60099663923975,38.239630745560596,2.667138309161656,479,257.98,9944591.266666662,8771579.000000006,4391871,5186480000,5186480000,,13.8556,,,taiwan-semiconductor,delayed_streaming_900,sell
