symbol,exchange,base_ticker,ticker,company_name,security_type,sector,sector_es,logo_json,stream_status,raw_vector_len,field_0_asset_class,field_3_daily_change_pct,field_15_market_cap,field_22_sector,field_23_sector_es,field_24_logo,field_25_price,field_27_ticker,field_28_company_name,field_29_stream_status,price,market_cap,daily_change_pct,market_cap_in_trillions,market_direction,heatmap_color,heatmap_color_intensity,heatmap_buy_sell_strength,heatmap_tile_width_px,heatmap_tile_height_px,heatmap_tile_area_px2,heatmap_render_source,heatmap_metric_1,heatmap_metric_2,heatmap_metric_3,heatmap_metric_4,heatmap_metric_5,heatmap_metric_6,heatmap_metric_7,heatmap_metric_8,heatmap_metric_9,heatmap_metric_10,heatmap_metric_11,heatmap_metric_12,heatmap_metric_13,heatmap_metric_14,heatmap_metric_15,heatmap_metric_16,heatmap_metric_17,heatmap_metric_18,heatmap_metric_19,heatmap_metric_20,heatmap_metric_21
NASDAQ:GENK,NASDAQ,GENK,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
AMEX:IGBH,AMEX,IGBH,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NASDAQ:MB,NASDAQ,MB,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NASDAQ:DXLG,NASDAQ,DXLG,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NASDAQ:ETS,NASDAQ,ETS,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:MSWIS,OTC,MSWIS,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
CBOE:DDFA,CBOE,DDFA,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
AMEX:SPLV,AMEX,SPLV,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
AMEX:ITDI,AMEX,ITDI,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
AMEX:DRES,AMEX,DRES,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NYSE:KRSP,NYSE,KRSP,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:RSMDF,OTC,RSMDF,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NASDAQ:RDVT,NASDAQ,RDVT,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NYSE:HUBB,NYSE,HUBB,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:WFRSF,OTC,WFRSF,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:SUIC,OTC,SUIC,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:WIGBY,OTC,WIGBY,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NYSE:ALL/PB,NYSE,ALL/PB,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:URGYF,OTC,URGYF,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:RMNTF,OTC,RMNTF,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NASDAQ:PKW,NASDAQ,PKW,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
AMEX:HYBB,AMEX,HYBB,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:WCCP,OTC,WCCP,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NASDAQ:BVS,NASDAQ,BVS,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:GENFF,OTC,GENFF,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:STCK,OTC,STCK,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
AMEX:TYD,AMEX,TYD,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NYSE:GLOB,NYSE,GLOB,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NASDAQ:AESPU,NASDAQ,AESPU,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NYSE:COSO,NYSE,COSO,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:DNOPY,OTC,DNOPY,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NASDAQ:UTRE,NASDAQ,UTRE,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:BTIM,OTC,BTIM,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:BZDLF,OTC,BZDLF,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:LIGA,OTC,LIGA,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NYSE:BWIV,NYSE,BWIV,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NASDAQ:CUBWU,NASDAQ,CUBWU,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:FTSRF,OTC,FTSRF,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NASDAQ:BRVE,NASDAQ,BRVE,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:VANAF,OTC,VANAF,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NYSE:MIAX,NYSE,MIAX,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:IGEN,OTC,IGEN,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
OTC:TMRAF,OTC,TMRAF,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
CBOE:USMV,CBOE,USMV,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
AMEX:GLIX,AMEX,GLIX,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NYSE:VVX,NYSE,VVX,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
NASDAQ:SABR,NASDAQ,SABR,,,,,,,,0,,,,,,,,,,,,,,,neutral,neutral,0.0,0.0,,,,front-end layout; not present in scanner payload,,,,,,,,,,,,,,,,,,,,,
