symbol,raw_d_json,raw_d_len,exported_at_utc
NASDAQ:GENK,[],0,2026-09-10T15:59:10Z
AMEX:IGBH,[],0,2026-09-10T15:59:10Z
NASDAQ:MB,[],0,2026-09-10T15:59:10Z
NASDAQ:DXLG,[],0,2026-09-10T15:59:10Z
NASDAQ:ETS,[],0,2026-09-10T15:59:10Z
OTC:MSWIS,[],0,2026-09-10T15:59:10Z
CBOE:DDFA,[],0,2026-09-10T15:59:10Z
AMEX:SPLV,[],0,2026-09-10T15:59:10Z
AMEX:ITDI,[],0,2026-09-10T15:59:10Z
AMEX:DRES,[],0,2026-09-10T15:59:10Z
NYSE:KRSP,[],0,2026-09-10T15:59:10Z
OTC:RSMDF,[],0,2026-09-10T15:59:10Z
NASDAQ:RDVT,[],0,2026-09-10T15:59:10Z
NYSE:HUBB,[],0,2026-09-10T15:59:10Z
OTC:WFRSF,[],0,2026-09-10T15:59:10Z
OTC:SUIC,[],0,2026-09-10T15:59:10Z
OTC:WIGBY,[],0,2026-09-10T15:59:10Z
NYSE:ALL/PB,[],0,2026-09-10T15:59:10Z
OTC:URGYF,[],0,2026-09-10T15:59:10Z
OTC:RMNTF,[],0,2026-09-10T15:59:10Z
NASDAQ:PKW,[],0,2026-09-10T15:59:10Z
AMEX:HYBB,[],0,2026-09-10T15:59:10Z
OTC:WCCP,[],0,2026-09-10T15:59:10Z
NASDAQ:BVS,[],0,2026-09-10T15:59:10Z
OTC:GENFF,[],0,2026-09-10T15:59:10Z
OTC:STCK,[],0,2026-09-10T15:59:10Z
AMEX:TYD,[],0,2026-09-10T15:59:10Z
NYSE:GLOB,[],0,2026-09-10T15:59:10Z
NASDAQ:AESPU,[],0,2026-09-10T15:59:10Z
NYSE:COSO,[],0,2026-09-10T15:59:10Z
OTC:DNOPY,[],0,2026-09-10T15:59:10Z
NASDAQ:UTRE,[],0,2026-09-10T15:59:10Z
OTC:BTIM,[],0,2026-09-10T15:59:10Z
OTC:BZDLF,[],0,2026-09-10T15:59:10Z
OTC:LIGA,[],0,2026-09-10T15:59:10Z
NYSE:BWIV,[],0,2026-09-10T15:59:10Z
NASDAQ:CUBWU,[],0,2026-09-10T15:59:10Z
OTC:FTSRF,[],0,2026-09-10T15:59:10Z
NASDAQ:BRVE,[],0,2026-09-10T15:59:10Z
OTC:VANAF,[],0,2026-09-10T15:59:10Z
NYSE:MIAX,[],0,2026-09-10T15:59:10Z
OTC:IGEN,[],0,2026-09-10T15:59:10Z
OTC:TMRAF,[],0,2026-09-10T15:59:10Z
CBOE:USMV,[],0,2026-09-10T15:59:10Z
AMEX:GLIX,[],0,2026-09-10T15:59:10Z
NYSE:VVX,[],0,2026-09-10T15:59:10Z
NASDAQ:SABR,[],0,2026-09-10T15:59:10Z
NYSE:EW,[],0,2026-09-10T15:59:10Z
OTC:EPWKF,[],0,2026-09-10T15:59:10Z
NASDAQ:ASTL,[],0,2026-09-10T15:59:10Z
NYSE:BKV,[],0,2026-09-10T15:59:10Z
OTC:ABBRF,[],0,2026-09-10T15:59:10Z
CBOE:GLAM,[],0,2026-09-10T15:59:10Z
CBOE:AMZO,[],0,2026-09-10T15:59:10Z
OTC:QBAK,[],0,2026-09-10T15:59:10Z
OTC:ICOA,[],0,2026-09-10T15:59:10Z
CBOE:AMKL,[],0,2026-09-10T15:59:10Z
OTC:CEOS,[],0,2026-09-10T15:59:10Z
OTC:VGGOF,[],0,2026-09-10T15:59:10Z
AMEX:INTF,[],0,2026-09-10T15:59:10Z
OTC:BVHMY,[],0,2026-09-10T15:59:10Z
OTC:NASO,[],0,2026-09-10T15:59:10Z
AMEX:RLY,[],0,2026-09-10T15:59:10Z
OTC:UBSFY,[],0,2026-09-10T15:59:10Z
NYSE:LNN,[],0,2026-09-10T15:59:10Z
OTC:RDGMF,[],0,2026-09-10T15:59:10Z
NASDAQ:OXLCG,[],0,2026-09-10T15:59:10Z
NASDAQ:IVVD,[],0,2026-09-10T15:59:10Z
NYSE:FT,[],0,2026-09-10T15:59:10Z
CBOE:BMAY,[],0,2026-09-10T15:59:10Z
OTC:SRXIF,[],0,2026-09-10T15:59:10Z
CBOE:SKHN,[],0,2026-09-10T15:59:10Z
NYSE:AERO,[],0,2026-09-10T15:59:10Z
NYSE:RPT,[],0,2026-09-10T15:59:10Z
NASDAQ:XXX,[],0,2026-09-10T15:59:10Z
NASDAQ:QQQM,[],0,2026-09-10T15:59:10Z
OTC:KHNGF,[],0,2026-09-10T15:59:10Z
NASDAQ:NOEM,[],0,2026-09-10T15:59:10Z
NASDAQ:INTS,[],0,2026-09-10T15:59:10Z
AMEX:JMEE,[],0,2026-09-10T15:59:10Z
NYSE:ZTS,[],0,2026-09-10T15:59:10Z
NASDAQ:TBCVU,[],0,2026-09-10T15:59:10Z
AMEX:JMTG,[],0,2026-09-10T15:59:10Z
AMEX:MHIG,[],0,2026-09-10T15:59:10Z
OTC:ONXGF,[],0,2026-09-10T15:59:10Z
OTC:TRGGF,[],0,2026-09-10T15:59:10Z
CBOE:TOS,[],0,2026-09-10T15:59:10Z
AMEX:MLPX,[],0,2026-09-10T15:59:10Z
NYSE:T,[],0,2026-09-10T15:59:10Z
AMEX:ZCBE,[],0,2026-09-10T15:59:10Z
NYSE:AVD,[],0,2026-09-10T15:59:10Z
NASDAQ:CHA,[],0,2026-09-10T15:59:10Z
NASDAQ:ATTO,[],0,2026-09-10T15:59:10Z
OTC:ARHVF,[],0,2026-09-10T15:59:10Z
NASDAQ:SARK,[],0,2026-09-10T15:59:10Z
NASDAQ:HCOW,[],0,2026-09-10T15:59:10Z
NASDAQ:REXC,[],0,2026-09-10T15:59:10Z
CBOE:INTL,[],0,2026-09-10T15:59:10Z
OTC:SKPJY,[],0,2026-09-10T15:59:10Z
OTC:BORUF,[],0,2026-09-10T15:59:10Z
NYSE:TMO,[],0,2026-09-10T15:59:10Z
NASDAQ:VOGX,[],0,2026-09-10T15:59:10Z
OTC:RCGCF,[],0,2026-09-10T15:59:10Z
OTC:TLPPF,[],0,2026-09-10T15:59:10Z
AMEX:NINE,[],0,2026-09-10T15:59:10Z
OTC:MPGPF,[],0,2026-09-10T15:59:10Z
AMEX:DTAN,[],0,2026-09-10T15:59:10Z
NASDAQ:APLM,[],0,2026-09-10T15:59:10Z
CBOE:HEFA,[],0,2026-09-10T15:59:10Z
NASDAQ:NXPL,[],0,2026-09-10T15:59:10Z
CBOE:DDTG,[],0,2026-09-10T15:59:10Z
OTC:IXSRF,[],0,2026-09-10T15:59:10Z
NASDAQ:QNT,[],0,2026-09-10T15:59:10Z
AMEX:CPSU,[],0,2026-09-10T15:59:10Z
OTC:OPMG,[],0,2026-09-10T15:59:10Z
OTC:VSPIF,[],0,2026-09-10T15:59:10Z
AMEX:SPYV,[],0,2026-09-10T15:59:10Z
AMEX:UCBG,[],0,2026-09-10T15:59:10Z
OTC:TRUMF,[],0,2026-09-10T15:59:10Z
OTC:DBOXF,[],0,2026-09-10T15:59:10Z
AMEX:FQAL,[],0,2026-09-10T15:59:10Z
OTC:ABCCF,[],0,2026-09-10T15:59:10Z
OTC:SBDS,[],0,2026-09-10T15:59:10Z
AMEX:TROT,[],0,2026-09-10T15:59:10Z
OTC:SGLN,[],0,2026-09-10T15:59:10Z
NASDAQ:BIOT,[],0,2026-09-10T15:59:10Z
AMEX:ZCBB,[],0,2026-09-10T15:59:10Z
NASDAQ:GOOD,[],0,2026-09-10T15:59:10Z
OTC:GXXM,[],0,2026-09-10T15:59:10Z
NASDAQ:ONB,[],0,2026-09-10T15:59:10Z
NASDAQ:FEP,[],0,2026-09-10T15:59:10Z
NYSE:FLXR,[],0,2026-09-10T15:59:10Z
AMEX:LRGC,[],0,2026-09-10T15:59:10Z
NASDAQ:DAAQ,[],0,2026-09-10T15:59:10Z
NYSE:CB,[],0,2026-09-10T15:59:10Z
OTC:COMSP,[],0,2026-09-10T15:59:10Z
OTC:BIMI,[],0,2026-09-10T15:59:10Z
NYSE:ESS,[],0,2026-09-10T15:59:10Z
CBOE:KEYX,[],0,2026-09-10T15:59:10Z
NYSE:RLJ/PA,[],0,2026-09-10T15:59:10Z
AMEX:PSTP,[],0,2026-09-10T15:59:10Z
NYSE:CUBI,[],0,2026-09-10T15:59:10Z
OTC:RPBPF,[],0,2026-09-10T15:59:10Z
AMEX:FCSH,[],0,2026-09-10T15:59:10Z
OTC:ZEFIF,[],0,2026-09-10T15:59:10Z
NASDAQ:PRN,[],0,2026-09-10T15:59:10Z
OTC:GARWF,[],0,2026-09-10T15:59:10Z
OTC:KMFG,[],0,2026-09-10T15:59:10Z
AMEX:SDCP,[],0,2026-09-10T15:59:10Z
